Task	Top-1	Top-2	Top-3	Top-4	Top-5	Top-6	Top-7	Top-8	Top-9	Top-10
CoLA	0.6510067114093959	0.3221476510067114	0.16778523489932887	0.09587727708533078	0.06903163950143816	0.06040268456375839	0.058485139022051776	0.05752636625119847	0.05752636625119847	0.05752636625119847
MNLI	0.44982170147733064	0.18736627610799797	0.07957208354559347	0.033112582781456956	0.015282730514518594	0.007335710646968925	0.004177279673968416	0.0032603158430973	0.002750891492613347	0.002445236882322975
MRPC	0.2696078431372549	0.09068627450980392	0.029411764705882353	0.014705882352941176	0.004901960784313725	0.004901960784313725	0.0024509803921568627	0.0	0.0	0.0
QNLI	0.33058758923668313	0.09573494416987004	0.021050704740984808	0.004027091341753615	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0
QQP	0.4057135790254761	0.20482315112540192	0.088276032649023	0.044842938412070245	0.019168933959930745	0.008112787534009399	0.0027454860252287905	0.0011872372000989364	0.0003710116250309176	0.00012367054167697255
RTE	0.259927797833935	0.09025270758122744	0.02527075812274368	0.007220216606498195	0.0036101083032490976	0.0	0.0	0.0	0.0	0.0
SST-2	0.5722477064220184	0.23394495412844038	0.09059633027522936	0.034403669724770644	0.017201834862385322	0.009174311926605505	0.008027522935779817	0.008027522935779817	0.006880733944954129	0.006880733944954129
STS-B	0.2653333333333333	0.086	0.027333333333333334	0.013333333333333334	0.006666666666666667	0.0026666666666666666	0.0026666666666666666	0.0013333333333333333	0.0006666666666666666	0.0006666666666666666
