Task	Top-1	Top-2	Top-3	Top-4	Top-5	Top-6	Top-7	Top-8	Top-9	Top-10
CoLA	0.6816874400767018	0.3835091083413231	0.20517737296260785	0.13231064237775647	0.09204218600191755	0.07957813998082454	0.07574304889741132	0.0728667305848514	0.0728667305848514	0.0728667305848514
MNLI	0.42649006622516555	0.17310239429444726	0.06591951095262354	0.029037187977585328	0.012837493632195619	0.006622516556291391	0.004177279673968416	0.002750891492613347	0.0022414671421293938	0.0022414671421293938
MRPC	0.2034313725490196	0.056372549019607844	0.007352941176470588	0.0024509803921568627	0.0	0.0	0.0	0.0	0.0	0.0
QNLI	0.32747574592714623	0.07926047958996889	0.021233754347428153	0.0029287937030935385	0.001098297638660077	0.0	0.0	0.0	0.0	0.0
QQP	0.4386099431115508	0.22485777887707148	0.10173138758347762	0.051422211229285184	0.022631709126885977	0.009621568142468465	0.0031906999752658914	0.001113034875092753	0.0004946821667078902	0.0002720751916893396
RTE	0.19855595667870035	0.04693140794223827	0.007220216606498195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SST-2	0.5871559633027523	0.2798165137614679	0.11238532110091744	0.051605504587155966	0.0194954128440367	0.010321100917431193	0.008027522935779817	0.008027522935779817	0.008027522935779817	0.008027522935779817
STS-B	0.31133333333333335	0.106	0.038	0.018666666666666668	0.01	0.0026666666666666666	0.002	0.0013333333333333333	0.0013333333333333333	0.0013333333333333333
